City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
3,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
4,Hasaki,JP,90.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
5,Ponta Do Sol,PT,73.0,clear sky,32.6667,-17.1,Hotel do Campo
7,Rikitea,PF,72.36,light rain,-23.1203,-134.9692,People ThankYou
10,Coahuayana,MX,83.35,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
12,Jamestown,US,71.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
13,Gua Musang,MY,74.62,overcast clouds,4.8823,101.9644,Mines Inn Hotel
16,Douglas,US,84.27,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
17,Gimli,CA,80.28,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
18,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
27,Cabo San Lucas,MX,93.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
28,Torbay,CA,67.57,overcast clouds,47.6666,-52.7314,Gallows Cove
29,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
30,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
37,Cockburn Town,TC,82.11,clear sky,21.4612,-71.1419,Osprey Beach Hotel
40,Cape Canaveral,US,86.07,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
42,Mecca,SA,88.92,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
45,Guerrero Negro,MX,77.36,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
46,Katobu,ID,75.47,overcast clouds,-4.9408,122.5276,La Ode Husein
52,Hithadhoo,MV,80.44,moderate rain,-0.6,73.0833,Scoop Guest House
53,Eureka,US,85.68,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
55,Odweyne,SO,72.72,broken clouds,9.4092,45.06399999999999,Eng Hiirey House
57,Bengkulu,ID,76.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
60,Kahului,US,91.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
61,Kochubey,RU,73.8,clear sky,44.3861,46.5825,Europa
64,Nemuro,JP,69.96,broken clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
66,Vao,NC,67.75,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
67,Hastings,GB,66.79,broken clouds,50.8552,0.5729,Zanzibar Hotel
68,Mantua,IT,76.24,clear sky,45.1667,10.7833,Hotel la Favorita
69,Grand-Bourg,GP,80.55,few clouds,15.8835,-61.3148,Coco Beach Resort
70,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
71,Swan River,CA,66.09,overcast clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
72,Alamogordo,US,82.96,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
74,Port Hardy,CA,77.18,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
75,Hilo,US,88.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
77,Churapcha,RU,76.05,overcast clouds,62.0025,132.4325,"""Tusku"""
79,Prince Rupert,CA,69.89,overcast clouds,54.3161,-130.3201,Crest Hotel
82,Noumea,NC,71.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
83,Solnechnyy,RU,70.9,broken clouds,50.7214,136.6319,Hotel complex Pastoral
84,Sao Filipe,CV,77.77,overcast clouds,14.8961,-24.4956,Hotel Xaguate
86,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
87,Butaritari,KI,81.18,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
90,Muros,ES,70.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
94,Pacific Grove,US,75.22,few clouds,36.6177,-121.9166,Lovers Point Inn
95,Bagnolo Mella,IT,75.42,clear sky,45.4291,10.1844,Le Rondini
97,Mogadishu,SO,75.42,overcast clouds,2.0371,45.3438,Hotel Juba
100,Sidi Ali,DZ,83.86,broken clouds,36.0998,0.4206,Complexe touristique haje bezine
102,Amahai,ID,79.11,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
104,Ponta Delgada,PT,70.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
105,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
107,Emirdag,TR,68.38,clear sky,39.0197,31.15,Emirdağ Öğretmenevi
108,Champasak,LA,74.86,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
109,Mahebourg,MU,70.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
110,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
111,Fortuna,US,72.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
113,Wloszczowa,PL,66.4,heavy intensity rain,50.8526,19.9659,Hotel Mariage
115,Jiuquan,CN,79.34,overcast clouds,39.7432,98.5174,Jiuquan Hotel
116,Pijijiapan,MX,82.02,overcast clouds,15.7011,-93.23,Hotel Rosita
117,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
119,Zhuhai,CN,88.86,mist,22.2769,113.5678,珠海粤财假日酒店
120,Buraydah,SA,90.05,overcast clouds,26.326,43.975,Mövenpick Qassim
123,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
124,Arraial Do Cabo,BR,67.35,clear sky,-22.9661,-42.0278,Pousada Porto Praia
125,Dingle,PH,80.11,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
128,Tura,IN,73.85,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
129,Fort Saint James,CA,86.14,scattered clouds,54.4333,-124.25,The View Hotel
130,Chapais,CA,65.98,broken clouds,49.7834,-74.8492,Hôtel Opémiska
131,Bitung,ID,85.05,overcast clouds,1.4451,125.1824,K2 Lembeh
133,Dakoro,NE,77.18,overcast clouds,14.5106,6.765,Shagon mai liverpool
135,Namatanai,PG,84.36,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
136,Thompson,CA,68.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
137,Sao Joao Da Barra,BR,65.62,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
139,Jerez,GT,71.94,light rain,14.1,-89.75,Auto hotel Esmeralda
143,Tahoua,NE,80.6,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
144,Atuona,PF,76.86,clear sky,-9.8,-139.0333,Villa Enata
146,Alyangula,AU,75.09,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
147,Eskil,TR,70.99,clear sky,38.4017,33.4131,Eskil Öğretmen Evi
149,Chabahar,IR,81.73,overcast clouds,25.2919,60.643,هتل گدروشیا
150,Nichinan,JP,80.28,broken clouds,31.6,131.3667,Guest House Aki
154,Lashio,MM,68.63,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
155,Wilmington,US,82.99,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
156,Lorengau,PG,83.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
157,Sile,TR,74.57,clear sky,41.1754,29.6133,Phellos Suites
160,Bowen,AU,69.71,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
161,Nisia Floresta,BR,79.18,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
163,Larkana,PK,87.49,light rain,27.5551,68.2141,Advocate Riaz Hussain Chandio
164,Jabinyanah,TN,84.0,clear sky,35.035,10.9081,maison belmabrouk
165,Abeche,TD,80.82,light rain,13.8292,20.8324,Assaleh Hamdan Haroune
166,Wangqing,CN,74.05,overcast clouds,43.3218,129.7634,Jianan Fashion Hotel
167,Macenta,GN,68.4,overcast clouds,8.5435,-9.471,Hôtel Yansané
169,Juazeiro,BR,84.38,clear sky,-9.4117,-40.4986,JB Hotel
170,Meulaboh,ID,76.57,overcast clouds,4.1363,96.1285,Kost Pria
171,Oranjestad,AW,80.74,broken clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
174,Goderich,CA,76.91,clear sky,43.7501,-81.7165,Harmony Inn
175,Margate,GB,66.87,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
179,Aktau,KZ,73.98,scattered clouds,43.65,51.2,Silk Way Hotel
180,Asau,RO,65.32,broken clouds,46.4333,26.4,Casa Mika Ciobanus
183,Bethel,US,80.96,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
185,Boyolangu,ID,73.98,overcast clouds,-8.1181,111.8935,Yos ega cv
186,Makakilo City,US,88.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
188,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
189,Englewood,US,92.43,few clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
190,Westport,US,82.44,clear sky,41.1415,-73.3579,The Westport Inn
191,Faanui,PF,79.0,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
192,Praia,CV,78.39,overcast clouds,14.9215,-23.5087,LT Aparthotel
195,Ribeira Grande,PT,74.17,few clouds,38.5167,-28.7,Quinta da Meia Eira
197,Waingapu,ID,78.98,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
198,Korla,CN,76.19,few clouds,41.7597,86.1469,Gulisitan Hotel
199,Aleppo,SY,74.95,clear sky,36.25,37.5,أمل دوريش
201,North Bend,US,72.91,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
202,Kavieng,PG,84.54,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
203,Longhua,CN,81.39,scattered clouds,23.6137,114.1919,Huadu Hotel
204,Baraki Barak,AF,72.07,clear sky,33.9675,68.9486,برکی برک
208,Kieta,PG,83.79,light rain,-6.2167,155.6333,Uruna Bay Retreat
209,Manzanillo,CU,83.32,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
211,Kamaishi,JP,82.04,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
212,Kongoussi,BF,81.14,few clouds,13.3258,-1.5347,Hôtel La Sagesse
214,Saint-Pierre,RE,71.19,broken clouds,-21.3393,55.4781,Alize Plage
217,Mabaruma,GY,74.23,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
219,Sao Miguel Do Araguaia,BR,74.44,clear sky,-13.275,-50.1628,Hotel Executivo Palace
220,Yichun,CN,77.0,few clouds,47.7,128.9,锦江酒店
223,Katsuura,JP,84.97,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
224,Aswan,EG,87.94,clear sky,24.0934,32.907,Nuba Nile
225,Aquiraz,BR,79.18,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
226,Prainha,BR,74.75,broken clouds,-1.8,-53.48,Casa Rocha
227,Khandyga,RU,67.8,light rain,62.6667,135.6,Apel'sin
228,Faro,PT,79.97,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
229,Victoria,HK,86.38,light rain,22.2855,114.1577,Mini Central
231,Itarema,BR,78.08,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
233,Najran,SA,77.65,light rain,17.4924,44.1277,محمد هادي ال فطيح
236,Sept-Iles,CA,70.32,broken clouds,50.2001,-66.3821,Comfort Inn
237,Jalalpur Pirwala,PK,87.71,overcast clouds,29.5069,71.2192,Bhatti Easy Paisa Shop
238,Touros,BR,75.6,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
239,Vila Franca Do Campo,PT,70.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
240,Glenwood Springs,US,79.34,scattered clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
241,Borzya,RU,66.97,overcast clouds,50.3833,116.5167,Tikhiy
246,Guangyuan,CN,80.19,few clouds,32.442,105.823,Guangyuan Poetry Hotel
247,Shaowu,CN,80.91,scattered clouds,27.3409,117.4831,Yijie Express Hotel
248,Vanimo,PG,83.23,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
250,Zuwarah,LY,81.37,clear sky,32.9312,12.082,مطعم كابيتانو
252,Galle,LK,77.94,broken clouds,6.0367,80.217,Amangalla
254,Tual,ID,79.32,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
256,Palmer,US,76.6,few clouds,42.1584,-72.3287,Wedgewood Motel
257,Erenhot,CN,75.85,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
261,Sao Felix Do Xingu,BR,80.17,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
262,Thunder Bay,CA,78.71,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
263,Axim,GH,74.32,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
265,Garden City,US,81.99,scattered clouds,42.3256,-83.331,Big Trees Mobile Home Community
266,Lata,PT,69.91,clear sky,40.1629,-8.3327,Casa Maquia
267,Antigonish,CA,67.82,broken clouds,45.6169,-61.9986,Claymore Inn and Suites
268,Don Benito,ES,82.2,clear sky,38.9563,-5.8616,Hotel Veracruz
269,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
270,Sabha,LY,84.99,few clouds,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
271,Porto Walter,BR,79.11,broken clouds,-8.2686,-72.7439,Hotel Silva
272,Jind,IN,80.4,overcast clouds,29.3167,76.3167,Hotel Deep Palace
273,Sola,VU,83.07,overcast clouds,-13.8833,167.55,Leumerus Bungalows
274,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
276,Autazes,BR,73.24,overcast clouds,-3.5797,-59.1306,Hotel Tupinambá
279,Lichuan,CN,70.02,clear sky,30.3,108.85,Yuanlai Homestay
280,Atambua,ID,75.85,broken clouds,-9.1061,124.8925,Kost Alfa Flat
282,Waseca,US,80.85,clear sky,44.0777,-93.5074,American Motel
285,Krumovgrad,BG,75.04,clear sky,41.4667,25.65,Hotel Divna
286,Kalangala,UG,67.35,light rain,-0.3089,32.225,Ssese Habitat Resort
287,Matara,LK,76.41,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
288,Canaries,ES,67.96,broken clouds,28.0,-15.5,Villa del Monte
289,Sioux Lookout,CA,80.67,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
290,Methala,IN,75.2,overcast clouds,10.2166,76.2166,Style Homes Holiday Inn
